C:\Users\yujunyu\.conda\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
C:\Users\yujunyu\.conda\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
训练准备......
{'cardboard': 0, 'glass': 1, 'metal': 2, 'paper': 3, 'plastic': 4, 'trash': 5}
加载预训练模型
训练开始......
epoch:0/100 	 train_acc:48.78656005859375 	 val_acc:71.26270294189453 	 train_loss:0.8240558505058289 	 val_loss:0.9093315005302429
epoch:1/100 	 train_acc:81.39390563964844 	 val_acc:79.9709701538086 	 train_loss:0.7613736987113953 	 val_loss:0.637128472328186
epoch:2/100 	 train_acc:88.79900360107422 	 val_acc:85.05079650878906 	 train_loss:0.40809741616249084 	 val_loss:0.5637871623039246
epoch:3/100 	 train_acc:92.6571273803711 	 val_acc:85.63134765625 	 train_loss:0.24118828773498535 	 val_loss:0.49542927742004395
epoch:4/100 	 train_acc:95.27069091796875 	 val_acc:87.37300109863281 	 train_loss:0.1739347279071808 	 val_loss:0.4500826597213745
epoch:5/100 	 train_acc:97.32421112060547 	 val_acc:88.53410339355469 	 train_loss:0.12116552889347076 	 val_loss:0.416925847530365
epoch:6/100 	 train_acc:98.00871276855469 	 val_acc:89.6952133178711 	 train_loss:0.0899336040019989 	 val_loss:0.4128433167934418
epoch:7/100 	 train_acc:98.81767272949219 	 val_acc:89.11466217041016 	 train_loss:0.06570760905742645 	 val_loss:0.43695807456970215
epoch:8/100 	 train_acc:99.2532730102539 	 val_acc:90.13062286376953 	 train_loss:0.07318287342786789 	 val_loss:0.3939909338951111
epoch:9/100 	 train_acc:99.6888656616211 	 val_acc:90.13062286376953 	 train_loss:0.03730448707938194 	 val_loss:0.4426618218421936
epoch:10/100 	 train_acc:99.6888656616211 	 val_acc:89.84034729003906 	 train_loss:0.04322047904133797 	 val_loss:0.3773941099643707
epoch:11/100 	 train_acc:99.81331634521484 	 val_acc:90.27576446533203 	 train_loss:0.03303090110421181 	 val_loss:0.3747689723968506
epoch:12/100 	 train_acc:99.6888656616211 	 val_acc:90.13062286376953 	 train_loss:0.023839209228754044 	 val_loss:0.40894436836242676
epoch:13/100 	 train_acc:99.93777465820312 	 val_acc:90.71117401123047 	 train_loss:0.016551315784454346 	 val_loss:0.40125390887260437
epoch:14/100 	 train_acc:99.93777465820312 	 val_acc:89.98548889160156 	 train_loss:0.012528352439403534 	 val_loss:0.4254413843154907
epoch:15/100 	 train_acc:99.93777465820312 	 val_acc:90.4208984375 	 train_loss:0.007866758853197098 	 val_loss:0.4360581934452057
epoch:16/100 	 train_acc:100.0 	 val_acc:90.71117401123047 	 train_loss:0.012349389493465424 	 val_loss:0.4773935079574585
epoch:17/100 	 train_acc:100.0 	 val_acc:91.14659118652344 	 train_loss:0.012316979467868805 	 val_loss:0.4430556297302246
epoch:18/100 	 train_acc:100.0 	 val_acc:90.85631561279297 	 train_loss:0.00785568356513977 	 val_loss:0.4866398870944977
epoch:19/100 	 train_acc:100.0 	 val_acc:90.85631561279297 	 train_loss:0.006022076588124037 	 val_loss:0.37226131558418274
epoch:20/100 	 train_acc:100.0 	 val_acc:90.4208984375 	 train_loss:0.005235203541815281 	 val_loss:0.41375601291656494
epoch:21/100 	 train_acc:100.0 	 val_acc:90.85631561279297 	 train_loss:0.007221462670713663 	 val_loss:0.3959175944328308
epoch:22/100 	 train_acc:100.0 	 val_acc:91.87227630615234 	 train_loss:0.007253359071910381 	 val_loss:0.4525211453437805
epoch:23/100 	 train_acc:100.0 	 val_acc:91.14659118652344 	 train_loss:0.0039307186380028725 	 val_loss:0.4462699592113495
